Time,Temp,RH,Pressure,Gas,Lat,Lon,RSSI,Flag,Reset,Heap1,Heap2,CPU_Temp,Td,J11
09:23:23,7.06,71.33,1012.91,31118,51.787188,-4.002444,-52,0,POWERON,206844,188120,57.2,2.226898796204803,
09:28:23,7.41,68.74,1012.94,32625,51.787198,-4.002653,-45,0,POWERON,202644,188120,57.8,2.0442264599365023,-0.521920960766572
09:33:23,7.46,69.74,1012.99,32986,51.787258,-4.002611,-45,0,POWERON,202444,188120,58.9,2.2945331477157977,5.006133755585926
09:38:23,7.37,70.49,1013.03,33169,51.787221,-4.00263,-44,0,POWERON,202444,188120,58.9,2.3583554794480492,-0.7091370192472399
09:43:23,7.2,70.76,1013.07,33515,51.78728,-4.002718,-44,0,POWERON,202244,188120,59.4,2.248842402250654,0.6441945717493845
09:48:23,6.98,71.02,1013.12,33979,51.787294,-4.002739,-45,0,POWERON,202244,188120,58.9,2.0890050769592254,0.7265332967792211
09:53:23,6.75,71.39,1013.14,34173,51.787262,-4.002691,-44,0,POWERON,202244,188120,58.9,1.940775003800518,0.6444785789509005
09:58:23,6.52,71.59,1013.15,34455,51.787176,-4.002532,-44,0,POWERON,202244,188120,58.9,1.7588027427950372,0.791183743502089
10:03:23,6.31,71.74,1013.18,34627,51.787187,-4.002516,-44,0,POWERON,202244,188120,58.9,1.5860983790945822,0.822401731906929
10:08:23,6.11,71.87,1013.18,35151,51.787279,-4.002592,-44,0,POWERON,202244,188120,58.9,1.418978606700621,0.8355988619698093
10:13:23,5.93,71.98,1013.16,35300,51.78711,-4.002553,-43,0,POWERON,202244,188120,58.3,1.267109096271746,0.8437195023826359
10:19:10,5.76,72.1,1013.11,35151,51.787188,-4.002441,-43,0,POWERON,201904,179780,58.3,1.1266944512462271,0.825968500150111
10:24:10,5.6,72.26,1013.07,35151,51.787248,-4.002653,-42,0,POWERON,202200,179780,58.3,1.0034885571469223,0.7700368381206545
10:29:10,5.46,72.35,1013.03,36000,51.787216,-4.002681,-42,0,POWERON,202200,179780,58.3,0.8859858066338612,0.8393053608075814
10:34:10,5.34,72.51,1012.99,35631,51.787147,-4.00281,-44,0,POWERON,202200,179780,58.3,0.8010627384143246,0.7076922351628039
10:39:10,5.23,72.6,1012.97,36062,51.787176,-4.002599,-44,0,POWERON,202200,179780,57.8,0.7123064546596041,0.8068753068611001
10:44:10,5.14,72.72,1012.96,36125,51.787369,-4.003535,-45,0,POWERON,202200,179780,57.8,0.6484753636932016,0.709234344071133
10:49:10,5.06,72.81,1012.94,36313,51.787191,-4.002447,-44,0,POWERON,202200,179780,57.8,0.5885138454388407,0.7495189781795107
10:54:10,4.99,72.91,1012.93,36376,51.787265,-4.002583,-43,0,POWERON,202200,179780,57.8,0.5400435601754047,0.6924326466205202
10:59:10,4.93,73.04,1012.87,36599,51.787224,-4.002567,-45,0,POWERON,202200,179780,57.8,0.5068447672266637,0.5533132158123446
11:04:10,4.86,73.07,1012.82,36890,51.787254,-4.002745,-43,0,POWERON,202200,179780,57.8,0.4450464825598622,0.8828326380971725
11:09:10,4.83,73.28,1012.79,36761,51.787237,-4.002651,-44,0,POWERON,202200,179780,57.8,0.45577328024489755,-0.35755992283450944
11:14:10,4.83,73.34,1012.78,36956,51.787316,-4.002648,-44,0,POWERON,202200,179780,57.8,0.4670818943734889,inf
11:19:10,4.83,73.32,1012.77,36890,51.787228,-4.002633,-43,0,POWERON,202156,179764,57.2,0.4633132653095899,-inf
11:24:56,4.84,73.34,1012.74,36890,51.787262,-4.002636,-43,0,POWERON,202196,179764,57.8,0.47672533954196794,1.3412074232378344
11:29:56,4.86,73.39,1012.73,37286,51.787118,-4.002755,-42,0,POWERON,202196,179764,57.8,0.5054320747048605,1.4353367581445955
11:34:56,4.9,73.45,1012.7,36858,51.787168,-4.002661,-44,0,POWERON,202196,179764,57.2,0.5553086882778612,1.2469153393250154
11:39:56,4.92,73.31,1012.65,36923,51.787178,-4.002667,-45,0,POWERON,202196,179764,57.8,0.5482149805842469,-0.35468538468072164
11:44:56,4.93,73.32,1012.58,36956,51.787236,-4.002637,-45,0,POWERON,202196,179764,57.8,0.5597440208156892,1.1529040231442547
11:49:56,4.93,73.38,1012.51,37054,51.78715,-4.002553,-42,0,POWERON,202196,179764,57.2,0.5710563386366808,inf
11:54:56,4.93,73.42,1012.44,37120,51.787125,-4.002625,-42,0,POWERON,202196,179764,57.8,0.5785933425485605,inf
11:59:56,4.92,73.43,1012.37,37087,51.787119,-4.002494,-42,0,POWERON,202196,179764,57.8,0.5708323369979054,0.7761005550655341
12:04:56,4.91,73.47,1012.31,37186,51.787178,-4.002552,-44,0,POWERON,202196,179764,57.8,0.568718882482678,0.21134545152274203
12:09:56,4.91,73.59,1012.23,37153,51.787241,-4.002478,-42,0,POWERON,202196,179764,57.2,0.5912909040669374,inf
12:14:56,4.9,73.55,1012.16,36988,51.787217,-4.002474,-42,0,POWERON,202196,179764,57.8,0.5741239678709726,1.7166936195965132
12:19:57,4.89,73.56,1012.09,36988,51.787227,-4.002734,-42,0,POWERON,202164,179756,57.2,0.566357539289926,0.7766428581046068
12:25:43,4.88,73.61,1012.01,37021,51.787194,-4.002738,-42,0,POWERON,202204,179756,57.2,0.5661073232817921,0.02502160081339131
12:30:43,4.88,73.74,1011.94,36988,51.787135,-4.002647,-42,0,POWERON,202204,179756,57.8,0.5905118742317946,inf
12:35:43,4.9,73.72,1011.86,37054,51.78733,-4.002707,-42,0,POWERON,202204,179756,57.8,0.606058111058292,0.7773118413248501
12:40:43,4.92,73.72,1011.79,37054,51.787262,-4.0027,-43,0,POWERON,202204,179756,57.8,0.6253563613499815,0.9649125145844967
12:45:43,4.94,73.71,1011.73,37120,51.787214,-4.002659,-43,0,POWERON,202204,179756,57.8,0.642777271129884,0.8710454889951057
12:50:43,4.96,73.71,1011.68,37219,51.787258,-4.002549,-43,0,POWERON,202204,179756,57.8,0.6620751047761775,0.964891682314693
12:55:43,4.97,73.71,1011.61,36825,51.787251,-4.002759,-43,0,POWERON,202204,179756,57.8,0.6717240004711521,0.964889569497483
13:00:43,4.98,73.72,1011.55,36988,51.78725,-4.002513,-43,0,POWERON,202204,179756,57.8,0.6832507743149201,1.1526773843767213
13:05:43,4.98,73.75,1011.5,37054,51.787291,-4.002518,-44,0,POWERON,202204,179756,57.8,0.6888831004402055,inf
13:10:43,4.98,73.79,1011.47,37021,51.787272,-4.002647,-44,0,POWERON,202204,179756,57.8,0.6963897194148173,inf
13:15:43,4.98,73.78,1011.42,37054,51.787213,-4.002614,-45,0,POWERON,202204,179756,57.8,0.6945134019116164,-inf
13:20:44,4.97,73.85,1011.37,36890,51.787222,-4.002709,-45,0,POWERON,202164,179756,57.8,0.6979918987702846,-0.3478496858667955
13:26:30,4.96,73.88,1011.3,36793,51.787253,-4.002785,-44,0,POWERON,202204,179756,57.8,0.6939635297303769,0.40283690399077504
13:31:30,4.95,73.88,1011.24,36728,51.787208,-4.002741,-44,0,POWERON,202196,179756,57.8,0.6843120381391844,0.9651491591192701
13:36:30,4.94,73.91,1011.18,36956,51.787226,-4.002567,-45,0,POWERON,202196,179756,58.3,0.6802802580490755,0.40317800901089357
13:41:30,4.92,73.93,1011.12,37419,51.787198,-4.002669,-45,0,POWERON,202196,179756,57.8,0.6647210519404103,0.7779603054332438
13:46:30,4.91,73.99,1011.06,36988,51.787431,-4.002709,-45,0,POWERON,202196,179756,58.3,0.6662967380824801,-0.15756861420698545
13:51:30,4.89,74.03,1011.02,36988,51.786907,-4.002785,-44,0,POWERON,202196,179756,57.8,0.6544699119724375,0.5913413055021163
13:56:30,4.88,74.06,1010.97,37021,51.787073,-4.002758,-44,0,POWERON,202196,179756,57.8,0.6504229856608615,0.40469263115760795
14:01:30,4.86,74.12,1010.91,37153,51.787368,-4.002945,-44,0,POWERON,202196,179756,57.8,0.6423203472417278,0.4051319209566948
14:06:30,4.84,74.17,1010.85,37120,51.786981,-4.002344,-42,0,POWERON,202196,179756,57.8,0.6323405294102932,0.4989908915717207
14:11:30,4.82,74.2,1010.81,37120,51.787613,-4.002733,-43,0,POWERON,202196,179756,57.8,0.6186232773304345,0.6858626039929463
14:16:30,4.8,74.24,1010.76,37087,51.787214,-4.00279,-43,0,POWERON,202196,179756,58.3,0.6067656994273827,0.5928788951525795
14:22:17,4.79,74.27,1010.73,36923,51.787351,-4.002721,-45,0,POWERON,202164,179756,57.2,0.6026973774729646,0.40683219544181726
14:27:17,4.78,74.28,1010.69,36988,51.787399,-4.002959,-44,0,POWERON,202192,179756,57.8,0.5949021002523149,0.7795277220649821
14:32:17,4.76,74.28,1010.65,36956,51.787193,-4.002689,-44,0,POWERON,202192,179756,57.8,0.5755864972727701,0.9657801489772188
14:37:17,4.75,74.31,1010.6,37021,51.787253,-4.002722,-44,0,POWERON,202192,179756,57.8,0.5715130456169193,0.40734516558509104
14:42:17,4.74,74.3,1010.57,37087,51.787345,-4.002526,-43,0,POWERON,202192,179756,57.8,0.5599936725690108,1.1519373047908756
14:47:17,4.74,74.35,1010.54,36956,51.787179,-4.002957,-44,0,POWERON,202192,179756,57.8,0.5692968818913967,inf
14:52:17,4.73,74.37,1010.52,37120,51.78715,-4.002821,-44,0,POWERON,202192,179756,57.8,0.5633574100317218,0.5939471859675043
14:57:17,4.72,74.34,1010.51,37153,51.787216,-4.002764,-43,0,POWERON,202192,179756,57.8,0.5481191591332193,1.5238250898501475
15:02:17,4.71,74.34,1010.49,36988,51.787166,-4.00274,-43,0,POWERON,202192,179756,57.2,0.5384603768657344,0.965878226748505
15:07:17,4.69,74.39,1010.49,37286,51.787169,-4.002808,-44,0,POWERON,202192,179756,57.8,0.5284377879984603,0.5011294433637177
15:12:17,4.68,74.4,1010.49,37186,51.787125,-4.002868,-43,0,POWERON,202192,179756,57.2,0.520636400789322,0.7801387209137729
15:17:17,4.67,74.45,1010.49,37153,51.787089,-4.002741,-43,0,POWERON,202192,179756,57.2,0.5202635455543385,0.03728552349835459
15:22:17,4.66,74.38,1010.49,37054,51.787158,-4.002822,-44,0,POWERON,202156,177408,57.2,0.4976009061253356,2.2662639429003413
15:28:03,4.65,74.42,1010.48,37021,51.787164,-4.002751,-44,0,POWERON,202196,177408,57.8,0.4953719488532266,0.22289572721090253
